,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
农村居民人均可支配收入(元),18931,17131,16021,14617,13432,12363,11422,10489,9430,8389
农村居民人均可支配收入_比上年增长(%),9.7,3.8,6.2,6.6,7.3,6.2,7.5,9.2,9.3,10.7
农村居民人均可支配收入中位数(元),16902,15204,14389,13066,11969,11149,10291,9497,8428,
农村居民人均可支配收入中位数_比上年增长(%),11.2,5.7,10.1,9.2,7.4,8.3,8.4,12.7,,
农村居民人均可支配工资性收入(元),,6974,6583,5996,5498,5022,4600,4152,3653,3123
农村居民人均可支配工资性收入_比上年增长(%),,5.9,9.8,9.1,9.5,9.2,10.8,13.7,16.9,14.2
农村居民人均可支配经营净收入(元),,6077,5762,5358,5028,4741,4504,4237,3935,3660
农村居民人均可支配经营净收入_比上年增长(%),,5.5,7.5,6.6,6.0,5.3,6.3,7.7,7.5,8.7
农村居民人均可支配财产净收入(元),,419,377,342,303,272,252,222,195,165
农村居民人均可支配财产净收入_比上年增长(%),,11.0,10.3,12.9,11.4,8.2,13.3,14.1,18.0,5.0
农村居民人均可支配转移净收入(元),,3661,3298,2920,2603,2328,2066,1877,1648,1441
农村居民人均可支配转移净收入_比上年增长(%),,11.0,12.9,12.2,11.8,12.7,10.1,13.9,14.3,26.9
