,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
城镇居民人均消费支出(元),30307,27007,28063,26112,24445,23079,21392,19968,18488,17107
城镇居民人均消费支出_比上年增长(%),11.1,-6.0,4.6,4.6,4.1,5.7,5.5,5.8,5.3,7.1
城镇居民人均服务性消费支出(元),,12013,13518,12130,10854,10068,9192,8438,7706,
城镇居民人均服务性消费支出_比上年增长(%),,-11.1,11.4,11.8,7.8,9.5,8.9,9.5,,
城镇居民人均食品烟酒支出(元),,7881,7733,7239,7001,6762,6360,6000,5571,5472
城镇居民人均食品烟酒支出_比上年增长(%),,1.9,6.8,3.4,3.5,6.3,6.0,7.7,1.8,8.9
城镇居民人均衣着支出(元),,1645,1832,1808,1758,1739,1701,1627,1554,1535
城镇居民人均衣着支出_比上年增长(%),,-10.2,1.3,2.9,1.1,2.2,4.5,4.7,1.2,7.6
城镇居民人均居住支出(元),,6958,6780,6255,5564,5114,4726,4490,4301,3511
城镇居民人均居住支出_比上年增长(%),,2.6,8.4,12.4,8.8,8.2,5.3,4.4,22.5,11.6
城镇居民人均生活用品及服务支出(元),,1640,1689,1629,1525,1427,1306,1233,1129,1061
城镇居民人均生活用品及服务支出_比上年增长(%),,-2.9,3.7,6.8,6.9,9.2,5.9,9.2,6.4,8.7
城镇居民人均交通通信支出(元),,3474,3671,3473,3322,3174,2895,2637,2318,2139
城镇居民人均交通通信支出_比上年增长(%),,-5.4,5.7,4.6,4.7,9.6,9.8,13.8,8.4,13.2
城镇居民人均教育文化娱乐支出(元),,2592,3328,2974,2847,2638,2383,2142,1988,1810
城镇居民人均教育文化娱乐支出_比上年增长(%),,-22.1,11.9,4.5,7.9,10.7,11.2,7.7,9.8,9.0
城镇居民人均医疗保健支出(元),,2172,2283,2046,1777,1631,1443,1306,1136,1099
城镇居民人均医疗保健支出_比上年增长(%),,-4.8,11.6,15.1,9.0,13.0,10.6,14.9,3.4,10.0
城镇居民人均其他用品及服务支出(元),,646,747,687,652,595,578,533,490,479
城镇居民人均其他用品及服务支出_比上年增长(%),,-13.5,8.7,5.5,9.6,3.0,8.4,8.7,2.3,10.6
