,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
城镇居民人均可支配收入(元),47412,43834,42359,39251,36396,33616,31195,28844,26467,24127
城镇居民人均可支配收入_比上年增长(%),7.1,1.2,5.0,5.6,6.5,5.6,6.6,6.8,7.0,9.6
城镇居民人均可支配收入中位数(元),43504,40378,39244,36413,33834,31554,29129,26635,24138,
城镇居民人均可支配收入中位数_比上年增长(%),7.7,2.9,7.8,7.6,7.2,8.3,9.4,10.3,,
城镇居民人均可支配工资性收入(元),,26381,25565,23792,22201,20665,19337,17937,16617,15247
城镇居民人均可支配工资性收入_比上年增长(%),,3.2,7.5,7.2,7.4,6.9,7.8,7.9,9.0,11.5
城镇居民人均可支配经营净收入(元),,4711,4840,4443,4065,3770,3476,3279,2975,2715
城镇居民人均可支配经营净收入_比上年增长(%),,-2.7,9.0,9.3,7.8,8.5,6.0,10.2,9.6,15.8
城镇居民人均可支配财产净收入(元),,4627,4391,4028,3607,3271,3042,2812,2552,2231
城镇居民人均可支配财产净收入_比上年增长(%),,5.4,9.0,11.7,10.3,7.5,8.2,10.2,14.4,17.3
城镇居民人均可支配转移净收入(元),,8116,7563,6988,6524,5910,5340,4816,4323,3934
城镇居民人均可支配转移净收入_比上年增长(%),,7.3,8.2,7.1,10.4,10.7,10.9,11.4,9.9,12.2
