,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
居民平均每百户年末家用汽车拥有量(辆),,37.1,35.3,33.0,29.7,27.7,22.7,19.2,16.9,
居民平均每百户年末摩托车拥有量(辆),,33.1,34.2,35.7,39.3,40.0,42.2,43.5,38.5,
居民平均每百户年末电动助力车拥有量(辆),,66.7,63.9,59.2,56.5,53.2,47.6,43.8,39.5,
居民平均每百户年末洗衣机拥有量(台),,96.7,96.0,93.8,91.7,89.8,86.4,83.7,80.8,
居民平均每百户年末电冰箱（柜）拥有量(台),,101.8,100.9,98.8,95.3,93.5,89.0,85.5,82.0,
居民平均每百户年末微波炉拥有量(台),,41.0,40.1,39.2,40.0,38.4,36.9,36.0,34.6,
居民平均每百户年末彩色电视机拥有量(台),,120.8,120.6,119.3,122.2,120.8,119.9,119.2,116.1,
居民平均每百户年末空调拥有量(台),,117.7,115.6,109.3,96.1,90.9,81.5,75.2,70.4,
居民平均每百户年末热水器拥有量(台),,90.4,86.9,85.0,78.6,76.2,71.2,67.7,64.2,
居民平均每百户年末排油烟机拥有量(台),,60.9,59.3,56.4,51.0,48.6,45.7,44.3,42.5,
居民平均每百户年末移动电话拥有量(部),,253.8,253.2,249.1,240.0,235.4,224.8,215.9,203.2,
居民平均每百户年末计算机拥有量(台),,54.2,53.2,53.4,58.7,57.5,55.5,53.0,48.9,
居民平均每百户年末照相机拥有量(台),,12.1,12.2,12.6,18.4,17.7,20.4,21.7,21.0,
