,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
农村居民人均消费支出(元),15916,13713,13328,12124,10955,10130,9223,8383,7485,6667
农村居民人均消费支出_比上年增长(%),15.3,-0.1,6.5,8.4,6.8,7.8,8.6,10.0,9.2,10.4
农村居民人均服务性消费支出(元),,5190,5290,4645,4130,3751,3337,2946,2567,
农村居民人均服务性消费支出_比上年增长(%),,-1.9,13.9,12.5,10.1,12.4,13.3,14.8,,
农村居民人均食品烟酒支出(元),,4479,3998,3646,3415,3266,3048,2814,2554,2395
农村居民人均食品烟酒支出_比上年增长(%),,12.0,9.7,6.7,4.6,7.2,8.3,10.2,6.7,9.6
农村居民人均衣着支出(元),,713,713,648,612,575,550,510,454,413
农村居民人均衣着支出_比上年增长(%),,-0.1,10.1,5.9,6.3,4.5,7.9,12.5,10.0,15.5
农村居民人均居住支出(元),,2962,2871,2661,2354,2147,1926,1763,1580,1381
农村居民人均居住支出_比上年增长(%),,3.2,7.9,13.0,9.6,11.5,9.3,11.6,14.4,13.9
农村居民人均生活用品及服务支出(元),,768,764,720,634,596,546,506,455,400
农村居民人均生活用品及服务支出_比上年增长(%),,0.5,6.0,13.6,6.4,9.2,7.7,11.3,13.8,10.8
农村居民人均交通通信支出(元),,1841,1837,1690,1509,1360,1163,1013,875,717
农村居民人均交通通信支出_比上年增长(%),,0.2,8.7,12.0,11.0,16.9,14.9,15.7,22.0,19.1
农村居民人均教育文化娱乐支出(元),,1309,1482,1302,1171,1070,969,860,755,677
农村居民人均教育文化娱乐支出_比上年增长(%),,-11.7,13.8,11.1,9.4,10.4,12.8,13.9,11.4,14.7
农村居民人均医疗保健支出(元),,1418,1421,1240,1059,929,846,754,668,560
农村居民人均医疗保健支出_比上年增长(%),,-0.2,14.6,17.1,13.9,9.8,12.2,12.8,19.2,17.3
农村居民人均其他用品及服务支出(元),,224,241,218,201,186,174,163,144,124
农村居民人均其他用品及服务支出_比上年增长(%),,-7.1,10.6,8.7,8.0,6.9,6.8,13.0,16.2,18.4
